ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
GA-175,Laurens County,Georgia,52.7,2.8,97,49.9
GA-177,Lee County,Georgia,52.7,1.9,86,50.8
GA-179,Liberty County,Georgia,54.9,2.2,90,52.7
GA-181,Lincoln County,Georgia,51.1,4.9,114,46.2
GA-183,Long County,Georgia,55.1,2.3,89,52.8
GA-185,Lowndes County,Georgia,54.3,0.9,78,53.4
GA-187,Lumpkin County,Georgia,46.9,5.5,121,41.4
GA-189,McDuffie County,Georgia,50.9,3.9,105,47
GA-191,McIntosh County,Georgia,55.7,2.4,91,53.3
GA-193,Macon County,Georgia,51.6,2.6,93,49
GA-195,Madison County,Georgia,50,5.3,119,44.7
GA-197,Marion County,Georgia,52.1,3.3,101,48.8
GA-199,Meriwether County,Georgia,51.3,4.9,115,46.4
GA-201,Miller County,Georgia,54.2,1.5,85,52.7
GA-205,Mitchell County,Georgia,53.9,1.5,86,52.4
GA-207,Monroe County,Georgia,51.2,4.1,105,47.1
GA-209,Montgomery County,Georgia,53.3,2.4,90,50.9
GA-211,Morgan County,Georgia,51.1,5.3,120,45.8
GA-213,Murray County,Georgia,48.5,6.2,121,42.3
GA-215,Muscogee County,Georgia,52.6,3.7,105,48.9
GA-217,Newton County,Georgia,51,5.6,119,45.4
GA-219,Oconee County,Georgia,50.7,5.3,120,45.4
GA-221,Oglethorpe County,Georgia,50.6,5.4,120,45.2
GA-223,Paulding County,Georgia,49.4,5.6,120,43.8
GA-225,Peach County,Georgia,51.4,2.9,95,48.5
GA-227,Pickens County,Georgia,48.5,6.4,123,42.1
